Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
"Thigiri, Westlands",house,6,6.0,,260000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,4062500.0,2
Kiambu Road,house,4,5.0,,78000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1218750.0,2
Lavington,townhouse,6,7.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,2500000.0,2
Lavington,villa,5,5.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,937500.0,2
Lavington,villa,5,6.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,937500.0,2
Lavington,villa,5,5.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1328125.0,2
Lavington,villa,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1328125.0,2
Lavington,villa,5,9.0,485 m²,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,485.0,175257.7319587629,2
Lavington,villa,5,6.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1484375.0,2
Lavington,villa,5,5.0,628 m²,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,628.0,159235.66878980893,2
Lavington,villa,5,7.0,475 m²,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,475.0,273684.2105263158,2
Lavington,villa,5,7.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1484375.0,2
Lavington,house,4,5.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,2031250.0,2
Runda,townhouse,5,5.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,2109375.0,2
Lavington,villa,4,5.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,2031250.0,2
Nyari,house,5,5.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,2031250.0,2
Karen,villa,6,7.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1875000.0,2
Karen,townhouse,4,5.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1250000.0,2
Lavington,villa,5,6.0,630 m²,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,630.0,158730.15873015873,2
Rosslyn,house,4,4.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1328125.0,2
Lavington,villa,5,5.0,,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,859375.0,2
Lower Kabete,townhouse,6,6.0,,255000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,3984375.0,2
Karen,house,5,5.0,,102000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,64.0,1593750.0,2
Karen,townhouse,4,5.0,399 m²,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi,399.0,200501.2531328321,2
Runda,house,4,5.0,,155040000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,2422500.0,2
Westlands,house,4,4.0,,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1640625.0,2
Westlands,villa,4,5.0,,25000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,390625.0,2
Lavington,townhouse,4,5.0,,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1093750.0,2
Lower Kabete,house,5,5.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,2109375.0,2
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1171875.0,2
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1265625.0,2
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1328125.0,2
Karen,house,4,4.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,2031250.0,2
Spring Valley,house,4,4.0,,50000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,781250.0,2
Karen,house,7,7.0,516 m²,165000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,516.0,319767.4418604651,2
Kitisuru,townhouse,5,5.0,,125000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1953125.0,2
Lower Kabete,townhouse,3,3.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1328125.0,2
Lavington,townhouse,5,5.0,,73000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1140625.0,2
Westlands,house,5,5.0,,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1531250.0,2
Lavington,townhouse,5,5.0,,69000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1078125.0,2
Lavington,townhouse,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1718750.0,2
Lavington,townhouse,5,6.0,,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1093750.0,2
Garden Estate,house,4,5.0,,90000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1406250.0,2
Lavington,townhouse,6,7.0,,195000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,3046875.0,2
Kiambu Road,townhouse,4,4.0,,34000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,531250.0,2
Kileleshwa,townhouse,5,6.0,,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,1093750.0,2
Lavington,townhouse,5,5.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=2,64.0,937500.0,2
Runda,house,5,6.0,,235000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,3671875.0,2
Runda,house,5,5.0,,259000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,4046875.0,2
Lavington,villa,5,6.0,400 m²,45000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,400.0,112500.0,2
Lavington,townhouse,5,6.0,,97000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1515625.0,2
Loresho,townhouse,4,5.0,,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1640625.0,2
Nyari,house,4,3.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1875000.0,2
Lavington,townhouse,4,4.0,,83000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1296875.0,2
Runda,house,5,6.0,,259000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,4046875.0,2
