Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL
"Thigiri, Westlands",house,6,6.0,,260000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Kiambu Road,house,4,,,78000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,townhouse,6,7.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,5.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,6.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,5.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,9.0,485 m²,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,6.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,5.0,628 m²,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,7.0,475 m²,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,7.0,,95000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,house,4,5.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
"Runda, Westlands",townhouse,5,5.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,4,5.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
"Nyari, Westlands",house,5,,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Karen Hardy,villa,6,7.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Karen,townhouse,4,5.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,6.0,630 m²,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
"Rosslyn, Westlands",house,4,4.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
Lavington,villa,5,5.0,,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi
