Location,Property Type,Bedrooms,Bathrooms,Size,Amenities,Price,Listing Date,Source_URL,Scrape_Date
,house,6,6,,"Thigiri, Westlands",260000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,house,4,,,Kiambu Road,78000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,townhouse,6,7,,Lavington,160000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,5,,Lavington,60000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,6,,Lavington,60000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,5,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,6,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,9,485 m²,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,6,,Lavington,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,5,628 m²,Lavington,100000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,7,475 m²,Lavington,130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,5,7,,Lavington,95000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,house,4,5,,Lavington,130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,townhouse,5,5,,"Runda, Westlands",135000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,4,5,,Lavington,130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,house,5,,,"Nyari, Westlands",130000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
,villa,6,7,,Karen Hardy,120000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi,2026-02-18
